date,slot,rank,rank_range,product_name,source,note,is_active,product_group,sub_group,original_product_group,exclude_from_opportunity
2026-05-15,pm,102,101-200,열무김치,naver_top200,Top200_확장후보,Y,processed,김치/절임,가공식품,N
2026-05-15,pm,103,101-200,코큐텐,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,104,101-200,뉴케어당플랜,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,105,101-200,스타벅스미니컵,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,106,101-200,단백질바,naver_top200,Top200_확장후보,Y,processed,건강간식/단백질스낵,가공식품,N
2026-05-15,pm,107,101-200,베르베린,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,108,101-200,옥수수,naver_top200,Top200_확장후보,Y,agri,곡물성 채소,농산물,N
2026-05-15,pm,109,101-200,루테인지아잔틴,naver_top200,Top200_확장후보,Y,health,영양제,브랜드_완제품,Y
2026-05-15,pm,110,101-200,장어,naver_top200,Top200_확장후보,Y,seafood,생선/수산물,수산물,N
2026-05-15,pm,111,101-200,누룽지,naver_top200,Top200_확장후보,Y,processed,가공식품,가공식품,N
2026-05-15,pm,112,101-200,밀키트,naver_top200,Top200_확장후보,Y,processed,간편식/반찬,가공식품,N
2026-05-15,pm,113,101-200,이클립스,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,114,101-200,진미채,naver_top200,Top200_확장후보,Y,seafood,건어물,가공식품,N
2026-05-15,pm,115,101-200,두리안,naver_top200,Top200_확장후보,Y,agri,농산물 원물,농산물,N
2026-05-15,pm,116,101-200,오이지오이,naver_top200,Top200_확장후보,Y,processed,김치/절임,가공식품,N
2026-05-15,pm,117,101-200,정담은답례품,naver_top200,Top200_확장후보,Y,gift,기념일,기념일,Y
2026-05-15,pm,118,101-200,락토핏유산균,naver_top200,Top200_확장후보,Y,health,유산균,브랜드_완제품,Y
2026-05-15,pm,119,101-200,리포좀비타민c,naver_top200,Top200_확장후보,Y,health,영양제,브랜드_완제품,Y
2026-05-15,pm,120,101-200,농장,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,121,101-200,조선호텔김치,naver_top200,Top200_확장후보,Y,processed,김치/절임,브랜드_완제품,Y
2026-05-15,pm,122,101-200,미숫가루,naver_top200,Top200_확장후보,Y,processed,곡물가공/분말,가공식품,N
2026-05-15,pm,123,101-200,수향미,naver_top200,Top200_확장후보,Y,grain,쌀,농산물,N
2026-05-15,pm,124,101-200,아르기닌,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,125,101-200,노을멜론,naver_top200,Top200_확장후보,Y,agri,과일,농산물,N
2026-05-15,pm,126,101-200,비피더스유산균,naver_top200,Top200_확장후보,Y,health,유산균,브랜드_완제품,Y
2026-05-15,pm,127,101-200,쌀,naver_top200,Top200_확장후보,Y,grain,쌀,농산물,N
2026-05-15,pm,128,101-200,원두1kg,naver_top200,Top200_확장후보,Y,ingredient,커피원료,수입원재료,N
2026-05-15,pm,129,101-200,코큐메가,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,130,101-200,갑오징어,naver_top200,Top200_확장후보,Y,seafood,건어물,수산물,N
2026-05-15,pm,131,101-200,신비복숭아,naver_top200,Top200_확장후보,Y,agri,과일,농산물,N
2026-05-15,pm,132,101-200,오트밀,naver_top200,Top200_확장후보,Y,processed,가공식품,가공식품,N
2026-05-15,pm,133,101-200,올리브유,naver_top200,Top200_확장후보,Y,ingredient,오일/유지,수입원재료,N
2026-05-15,pm,134,101-200,명이나물,naver_top200,Top200_확장후보,Y,agri,엽채/나물,농산물,N
2026-05-15,pm,135,101-200,바답,naver_top200,Top200_확장후보,Y,gift,기념일,브랜드_완제품,Y
2026-05-15,pm,136,101-200,비타500,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,137,101-200,고려은단비타민c1000,naver_top200,Top200_확장후보,Y,health,영양제,브랜드_완제품,Y
2026-05-15,pm,138,101-200,엄나무순,naver_top200,Top200_확장후보,Y,agri,뿌리채소,농산물,N
2026-05-15,pm,139,101-200,반건조오징어,naver_top200,Top200_확장후보,Y,seafood,건어물,가공식품,N
2026-05-15,pm,140,101-200,마른오징어,naver_top200,Top200_확장후보,Y,seafood,건어물,가공식품,N
2026-05-15,pm,141,101-200,모아림답례,naver_top200,Top200_확장후보,Y,gift,기념일,기념일,Y
2026-05-15,pm,142,101-200,단백질쉐이크,naver_top200,Top200_확장후보,Y,health,단백질/근육,브랜드_완제품,Y
2026-05-15,pm,143,101-200,무늬오징어,naver_top200,Top200_확장후보,Y,seafood,건어물,수산물,N
2026-05-15,pm,144,101-200,뼈엔엠비피mbp,naver_top200,Top200_확장후보,Y,health,단백질/근육,브랜드_완제품,Y
2026-05-15,pm,145,101-200,새조개,naver_top200,Top200_확장후보,Y,seafood,패류,수산물,N
2026-05-15,pm,146,101-200,궁채,naver_top200,Top200_확장후보,Y,agri,농산물 원물,농산물,N
2026-05-15,pm,147,101-200,링티,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,148,101-200,마그네슘영양제,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,149,101-200,오징어,naver_top200,Top200_확장후보,Y,seafood,건어물,수산물,N
2026-05-15,pm,150,101-200,피크노제놀,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,151,101-200,cca주스,naver_top200,Top200_확장후보,Y,processed,음료/차류,brand,Y
2026-05-15,pm,152,101-200,g7블랙커피,naver_top200,Top200_확장후보,Y,processed,음료/차류,브랜드_완제품,Y
2026-05-15,pm,153,101-200,다슬기,naver_top200,Top200_확장후보,Y,seafood,패류,수산물,N
2026-05-15,pm,154,101-200,모발콜라겐,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,155,101-200,맥주효모,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,156,101-200,코코넛워터,naver_top200,Top200_확장후보,Y,processed,음료/차류,가공식품,N
2026-05-15,pm,157,101-200,흑염소진액,naver_top200,Top200_확장후보,Y,health,건강진액,건강식품,Y
2026-05-15,pm,158,101-200,고춧가루,naver_top200,Top200_확장후보,Y,ingredient,분말/파우더,가공식품,N
2026-05-15,pm,159,101-200,푸룬주스,naver_top200,Top200_확장후보,Y,processed,음료/차류,브랜드_완제품,Y
2026-05-15,pm,160,101-200,모짜렐라치즈,naver_top200,Top200_확장후보,Y,ingredient,유제품원료,가공식품,N
