date,slot,source_type,source,rank,rank_range,product_name,note,product_group,sub_group,exclude_from_opportunity,search_ratio,shopping_ratio
2026-04-28,am,rising,naver_top200,177.0,101-200,반숙란,축산_가공식품,가공식품,,N,9.86964,47.92626
2026-04-28,am,rising,naver_top200,178.0,101-200,카누,브랜드상품,브랜드_완제품,,Y,25.19045,47.92626
2026-04-28,am,rising,naver_top200,179.0,101-200,닭갈비,축산_가공식품,가공식품,,N,68.25799,47.46543
2026-04-28,am,rising,naver_top200,180.0,101-200,새우,Top200_확장후보,수산물,,N,13.72947,47.46543
2026-04-28,am,rising,naver_top200,181.0,101-200,곱창김,수산_가공식품,가공식품,,N,16.79363,47.23502
2026-04-28,am,rising,naver_top200,182.0,101-200,쏘팔메토,건강식품,건강식품,,Y,16.54455,37.40875
2026-04-28,am,rising,naver_top200,183.0,101-200,창억떡호박인절미,브랜드상품,브랜드_완제품,,Y,60.67123,37.40875
2026-04-28,am,rising,naver_top200,184.0,101-200,매실청,농산가공_청류,가공식품,,N,13.54289,30.10948
2026-04-28,am,rising,naver_top200,185.0,101-200,옥수수,Top200_확장후보,농산물,,N,21.12975,37.04379
2026-04-28,am,rising,naver_top200,186.0,101-200,리포좀비타민c,건강식품,건강식품,,Y,24.79319,36.86131
2026-04-28,am,rising,naver_top200,187.0,101-200,텐텐,브랜드상품,브랜드_완제품,,Y,46.16886,53.7234
2026-04-28,am,rising,naver_top200,188.0,101-200,검은콩두유,브랜드상품,브랜드_완제품,,Y,42.41093,53.45744
2026-04-28,am,rising,naver_top200,189.0,101-200,체리,Top200_확장후보,농산물,,N,41.77647,53.19148
2026-04-28,am,rising,naver_top200,190.0,101-200,오쏘몰이뮨,브랜드상품,브랜드_완제품,,Y,100.0,52.92553
2026-04-28,am,rising,naver_top200,191.0,101-200,광동경옥고,브랜드상품,브랜드_완제품,,Y,47.24255,52.65957
2026-04-28,am,rising,naver_top200,192.0,101-200,들기름,들깨_원재료_가공식품,가공식품,,N,19.06435,51.5625
2026-04-28,am,rising,naver_top200,193.0,101-200,방울토마토,Top200_확장후보,농산물,,N,48.26933,51.5625
2026-04-28,am,rising,naver_top200,194.0,101-200,앵커버터,유제품,가공식품,,N,22.17414,51.5625
2026-04-28,am,rising,naver_top200,195.0,101-200,찹쌀,농산_가공식품,가공식품,,N,14.92698,51.5625
2026-04-28,am,rising,naver_top200,196.0,101-200,코엔자임q10,브랜드상품,브랜드_완제품,,Y,41.31963,51.5625
2026-04-28,am,rising,naver_top200,197.0,101-200,한우,Top200_확장후보,축산물,,N,9.11644,43.61233
2026-04-28,am,rising,naver_top200,198.0,101-200,미더덕,Top200_확장후보,수산물,,N,6.11468,43.39207
2026-04-28,am,rising,naver_top200,199.0,101-200,아보카도,Top200_확장후보,농산물,,N,9.32709,43.39207
2026-04-28,am,rising,naver_top200,200.0,101-200,관절보궁,브랜드상품,브랜드_완제품,,Y,5.92159,43.1718
2026-04-28,am,sns,instagram,,,오이,수동확인,,,N,24.96607,38.39779
2026-04-28,am,sns,instagram,,,양파,수동확인,,,N,36.96546,53.43347
2026-04-28,am,sns,instagram,,,우베,수동확인,,,N,72.45757,31.93832
2026-04-28,am,sns,instagram,,,산딸기,수동확인,,,N,60.63422,44.84126
2026-04-28,am,sns,instagram,,,모찌케이크,수동확인,,,N,98.79518,87.5
2026-04-28,am,top20,naver_datalab,1.0,,닭가슴살,,,,N,74.97236,46.68218
2026-04-28,am,top20,naver_datalab,2.0,,쌀20kg,,,,N,24.69599,46.50756
2026-04-28,am,top20,naver_datalab,3.0,,쌀10kg,,,,N,25.0608,44.06286
2026-04-28,am,top20,naver_datalab,4.0,,오메가3,,,,N,82.32367,43.94644
2026-04-28,am,top20,naver_datalab,5.0,,마늘쫑,,,,N,35.81693,42.14202
2026-04-28,am,top20,naver_datalab,6.0,,참외,,,,N,15.79568,57.78491
2026-04-28,am,top20,naver_datalab,7.0,,창억떡,,,,N,71.87839,54.01284
2026-04-28,am,top20,naver_datalab,8.0,,마그네슘,,,,N,17.89642,47.67255
2026-04-28,am,top20,naver_datalab,9.0,,감자,,,,N,10.09771,47.11075
2026-04-28,am,top20,naver_datalab,10.0,,콜라겐,,,,N,10.81055,46.22792
2026-04-28,am,top20,naver_datalab,11.0,,촉촉한황치즈칩,,,,N,44.20169,55.53398
2026-04-28,am,top20,naver_datalab,12.0,,꽃게,,,,N,10.83753,54.07766
2026-04-28,am,top20,naver_datalab,13.0,,유산균,,,,N,12.74159,51.55339
2026-04-28,am,top20,naver_datalab,14.0,,비타민c,,,,N,12.93614,50.87378
2026-04-28,am,top20,naver_datalab,15.0,,어버이날선물,,,,N,55.89079,50.58252
2026-04-28,am,top20,naver_datalab,16.0,,망고,,,,N,62.42355,48.83945
2026-04-28,am,top20,naver_datalab,17.0,,올리브오일,,,,N,84.82446,48.25918
2026-04-28,am,top20,naver_datalab,18.0,,임박,,,,N,8.28992,47.29206
2026-04-28,am,top20,naver_datalab,19.0,,암꽃게,,,,N,42.74065,46.42166
2026-04-28,am,top20,naver_datalab,20.0,,레몬즙,,,,N,39.72819,45.06769
