product_name,price_type,itemcategorycode,itemcode,kindcode,productrankcode,item_name,kind_name,rank_name,unit_name,itemname,kindname,countyname,marketname,yyyy,regday,price,full_regday,regday_dt,price_num
전복,retail,600,653,00,05,전복,전복,중품,5마리,전복,전복(5마리),제주,E-유통,2026,04/28,"7,900",2026-04-28,2026-04-28,7900.0
전복,retail,600,653,00,21,전복,전복,中,,전복,전복(5마리),제주,E-유통,2026,04/28,"7,900",2026-04-28,2026-04-28,7900.0
전복,wholesale,600,653,00,05,전복,전복,중품,1kg,전복,전복(1kg),대전,오정도매,2026,04/28,"32,000",2026-04-28,2026-04-28,32000.0
전복,wholesale,600,653,00,21,전복,전복,中,,전복,전복(1kg),대전,오정도매,2026,04/28,"32,000",2026-04-28,2026-04-28,32000.0
참외,retail,200,222,00,04,참외,참외,상품,10개,참외,참외(10개),제주,E-유통,2026,04/28,"16,600",2026-04-28,2026-04-28,16600.0
참외,retail,200,222,00,05,참외,참외,중품,10개,참외,참외(10개),제주,E-유통,2026,04/28,"14,200",2026-04-28,2026-04-28,14200.0
참외,retail,200,222,00,07,참외,참외,유기농,,참외,참외(10개),제주,E-유통,2026,04/28,"16,600",2026-04-28,2026-04-28,16600.0
참외,retail,200,222,00,08,참외,참외,무농약,,참외,참외(10개),제주,E-유통,2026,04/28,"14,200",2026-04-28,2026-04-28,14200.0
참외,wholesale,200,222,00,04,참외,참외,상품,10kg,참외,참외(10kg),대전,오정도매,2026,04/28,"70,500",2026-04-28,2026-04-28,70500.0
참외,wholesale,200,222,00,05,참외,참외,중품,10kg,참외,참외(10kg),대전,오정도매,2026,04/28,"64,300",2026-04-28,2026-04-28,64300.0
참외,wholesale,200,222,00,07,참외,참외,유기농,,참외,참외(10kg),대전,오정도매,2026,04/28,"70,500",2026-04-28,2026-04-28,70500.0
참외,wholesale,200,222,00,08,참외,참외,무농약,,참외,참외(10kg),대전,오정도매,2026,04/28,"64,300",2026-04-28,2026-04-28,64300.0
찹쌀,retail,100,112,01,04,찹쌀,일반계,상품,1kg,찹쌀,일반계(1kg),제주,E-유통,2026,04/28,"3,890",2026-04-28,2026-04-28,3890.0
찹쌀,retail,100,112,01,07,찹쌀,일반계,유기농,,찹쌀,일반계(1kg),제주,E-유통,2026,04/28,"3,890",2026-04-28,2026-04-28,3890.0
찹쌀,wholesale,100,112,01,04,찹쌀,일반계,상품,40kg,찹쌀,일반계(40kg),대전,인동,2026,04/28,"138,000",2026-04-28,2026-04-28,138000.0
찹쌀,wholesale,100,112,01,05,찹쌀,일반계,중품,40kg,찹쌀,일반계(40kg),서울,양곡도매,2026,04/28,"133,000",2026-04-28,2026-04-28,133000.0
찹쌀,wholesale,100,112,01,07,찹쌀,일반계,유기농,,찹쌀,일반계(40kg),대전,인동,2026,04/28,"138,000",2026-04-28,2026-04-28,138000.0
찹쌀,wholesale,100,112,01,08,찹쌀,일반계,무농약,,찹쌀,일반계(40kg),서울,양곡도매,2026,04/28,"133,000",2026-04-28,2026-04-28,133000.0
토마토,retail,200,225,00,04,토마토,토마토,상품,1kg,토마토,토마토(1kg),제주,E-유통,2026,04/28,"3,990",2026-04-28,2026-04-28,3990.0
토마토,retail,200,225,00,07,토마토,토마토,유기농,,토마토,토마토(1kg),제주,E-유통,2026,04/28,"3,990",2026-04-28,2026-04-28,3990.0
토마토,wholesale,200,225,00,04,토마토,토마토,상품,5kg,토마토,토마토(5kg),대전,오정도매,2026,04/28,"15,600",2026-04-28,2026-04-28,15600.0
토마토,wholesale,200,225,00,05,토마토,토마토,중품,5kg,토마토,토마토(5kg),대전,오정도매,2026,04/28,"13,300",2026-04-28,2026-04-28,13300.0
토마토,wholesale,200,225,00,07,토마토,토마토,유기농,,토마토,토마토(5kg),대전,오정도매,2026,04/28,"15,600",2026-04-28,2026-04-28,15600.0
토마토,wholesale,200,225,00,08,토마토,토마토,무농약,,토마토,토마토(5kg),대전,오정도매,2026,04/28,"13,300",2026-04-28,2026-04-28,13300.0
호두,retail,300,318,00,05,호두,수입,중품,100g,호두,수입(100g),제주,E-유통,2026,04/28,"1,420",2026-04-28,2026-04-28,1420.0
