product_name,auction_date,market_code,market_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,corp_count,raw_high_price,raw_low_price
사과,2026-05-11,380303,창원내서,47809.1,121000.0,15000.0,2760.0,43,42,1,1,160600.0,15000.0
사과,2026-05-11,230001,인천남촌,12004.6,13500.0,7000.0,1080.0,9,9,0,1,13500.0,7000.0
사과,2026-05-11,320101,춘천,71443.0,71830.0,71400.0,100.0,2,2,0,1,71830.0,71400.0
사과,2026-05-11,110001,서울가락,80000.0,80000.0,80000.0,40.0,1,1,0,1,80000.0,80000.0
산딸기,2026-05-11,110001,서울가락,40128.0,65000.0,10000.0,1172.0,101,100,1,5,69000.0,10000.0
산딸기,2026-05-11,210009,부산반여,22079.8,32500.0,8800.0,507.5,25,23,2,3,33000.0,7600.0
산딸기,2026-05-11,210001,부산엄궁,29946.2,32000.0,15200.0,429.0,16,15,1,3,32000.0,13000.0
산딸기,2026-05-11,220001,대구북부,38696.9,52500.0,12000.0,277.5,28,25,3,3,58000.0,7000.0
산딸기,2026-05-11,380201,울산,16609.6,18500.0,5500.0,209.0,7,7,0,1,18500.0,5500.0
산딸기,2026-05-11,370101,포항,17926.2,21200.0,12300.0,192.5,24,22,2,2,21800.0,9500.0
산딸기,2026-05-11,380303,창원내서,24042.1,30000.0,12000.0,163.1,18,17,1,2,33000.0,12000.0
산딸기,2026-05-11,380101,창원팔용,30621.6,36000.0,12000.0,148.0,9,9,0,2,36000.0,12000.0
산딸기,2026-05-11,380401,진주,32645.4,38500.0,25200.0,130.0,17,15,2,2,40000.0,21000.0
산딸기,2026-05-11,360301,순천,20000.0,20000.0,20000.0,34.0,2,2,0,1,20000.0,20000.0
산딸기,2026-05-11,250003,대전노은,49333.3,55000.0,38000.0,6.0,3,3,0,1,55000.0,38000.0
산딸기,2026-05-11,250001,대전오정,25000.0,25000.0,25000.0,2.5,2,2,0,1,25000.0,25000.0
수박,2026-05-11,110001,서울가락,23305.4,45000.0,6000.0,298724.0,846,829,17,4,48000.0,3000.0
수박,2026-05-11,311201,구리,22918.8,41000.0,6000.0,25852.0,74,72,2,2,42000.0,5500.0
수박,2026-05-11,110008,서울강서,16141.8,29000.0,4000.0,24473.0,83,82,1,3,31000.0,4000.0
수박,2026-05-11,380401,진주,28512.5,51000.0,8000.0,15259.5,71,69,2,2,52000.0,7500.0
수박,2026-05-11,340101,천안,17376.1,27000.0,6000.0,14466.0,41,41,0,1,27000.0,6000.0
수박,2026-05-11,370401,안동,18541.9,23000.0,8900.0,13841.0,52,50,2,2,26800.0,8000.0
수박,2026-05-11,210001,부산엄궁,17040.9,26600.0,6800.0,10386.0,49,46,3,1,27000.0,3000.0
수박,2026-05-11,350101,전주,17099.6,26000.0,3000.0,9564.0,26,25,1,1,27000.0,3000.0
수박,2026-05-11,240004,광주서부,17967.4,27000.0,6000.0,7810.0,28,27,1,1,27000.0,5500.0
수박,2026-05-11,380101,창원팔용,17776.0,27000.0,5000.0,5666.0,31,29,2,1,27000.0,2000.0
수박,2026-05-11,230003,인천삼산,15777.6,25000.0,11500.0,4727.0,13,11,2,2,26500.0,8500.0
수박,2026-05-11,360301,순천,23725.5,25000.0,21000.0,3610.0,15,14,1,1,25000.0,20000.0
수박,2026-05-11,350402,정읍,24862.5,27100.0,14000.0,2880.0,10,8,2,1,38000.0,12000.0
수박,2026-05-11,320201,원주,17061.3,20100.0,11600.0,2742.0,13,11,2,1,23100.0,9600.0
수박,2026-05-11,350301,익산,17420.8,21000.0,9000.0,2437.0,11,9,2,1,23000.0,4000.0
수박,2026-05-11,330101,청주,24405.2,30000.0,14000.0,1940.0,10,8,2,1,32100.0,12200.0
수박,2026-05-11,380201,울산,30466.5,40100.0,12000.0,1004.0,12,11,1,1,41000.0,12000.0
아몬드,2026-05-11,380303,창원내서,19339.0,19339.0,19339.0,1.0,1,1,0,1,19339.0,19339.0
아보카도,2026-05-11,340101,천안,16000.0,16000.0,16000.0,1056.0,11,11,0,1,16000.0,16000.0
아보카도,2026-05-11,240001,광주각화,19002.5,20000.0,18000.0,946.4,15,15,0,2,20000.0,18000.0
아보카도,2026-05-11,220001,대구북부,15000.0,15000.0,15000.0,864.0,7,7,0,1,15000.0,15000.0
아보카도,2026-05-11,210009,부산반여,20016.3,20200.0,20000.0,784.0,13,7,6,1,20200.0,1000.0
아보카도,2026-05-11,360301,순천,20259.0,20500.0,18000.0,332.0,2,2,0,2,20500.0,18000.0
아보카도,2026-05-11,380101,창원팔용,21000.0,21800.0,20000.0,240.0,6,6,0,1,21800.0,20000.0
아보카도,2026-05-11,230003,인천삼산,18000.0,18000.0,18000.0,236.0,13,12,1,1,18000.0,9000.0
아보카도,2026-05-11,380401,진주,20000.0,20000.0,20000.0,112.0,5,5,0,1,20000.0,20000.0
아보카도,2026-05-11,320201,원주,30720.0,79040.0,20800.0,65.0,4,4,0,1,79040.0,20800.0
양파,2026-05-11,110001,서울가락,5747.8,7700.0,2200.0,419910.0,225,221,4,2,7750.0,1500.0
양파,2026-05-11,220001,대구북부,9829.5,12000.0,3000.0,281986.0,191,187,4,4,12000.0,2000.0
양파,2026-05-11,311201,구리,6928.3,9000.0,5100.0,138865.0,45,45,0,2,9000.0,5100.0
양파,2026-05-11,210001,부산엄궁,7735.2,9000.0,3000.0,112120.0,77,76,1,1,9500.0,3000.0
양파,2026-05-11,210009,부산반여,9748.4,13200.0,5000.0,94680.0,95,93,2,2,13300.0,4000.0
양파,2026-05-11,240004,광주서부,7475.9,9600.0,2200.0,94376.0,110,107,3,3,10000.0,1000.0
양파,2026-05-11,250003,대전노은,5997.9,8500.0,3000.0,90760.0,80,80,0,1,8500.0,3000.0
양파,2026-05-11,110008,서울강서,6745.2,8300.0,4000.0,72765.0,66,66,0,2,8300.0,4000.0
양파,2026-05-11,250001,대전오정,6995.2,8000.0,4000.0,60580.0,30,28,2,2,8200.0,2700.0
양파,2026-05-11,230003,인천삼산,7343.8,10000.0,5000.0,32505.0,27,26,1,2,12000.0,5000.0
양파,2026-05-11,380101,창원팔용,7878.1,11000.0,3500.0,31000.0,39,39,0,2,11000.0,3500.0
양파,2026-05-11,380401,진주,8986.0,13000.0,2000.0,29270.0,41,40,1,2,13500.0,2000.0
양파,2026-05-11,240001,광주각화,6842.0,9000.0,3000.0,26807.0,28,27,1,2,9000.0,1800.0
양파,2026-05-11,380303,창원내서,9304.6,12000.0,2300.0,20115.0,37,35,2,1,12000.0,1100.0
양파,2026-05-11,310401,안양,6514.4,7000.0,6000.0,18810.0,18,17,1,1,7000.0,5000.0
양파,2026-05-11,340101,천안,7187.7,7300.0,7000.0,17985.0,17,16,1,1,8200.0,7000.0
양파,2026-05-11,330101,청주,7365.0,8200.0,4400.0,16455.0,16,15,1,1,8200.0,4300.0
양파,2026-05-11,310101,수원,7208.3,7500.0,7000.0,13500.0,12,12,0,1,7500.0,7000.0
양파,2026-05-11,370101,포항,10029.4,12000.0,6800.0,8470.0,15,13,2,1,12300.0,6200.0
양파,2026-05-11,230001,인천남촌,6307.8,8500.0,4600.0,3645.0,4,4,0,2,8500.0,4600.0
양파,2026-05-11,360301,순천,2566.9,3400.0,1200.0,3340.0,9,9,0,1,3400.0,1200.0
양파,2026-05-11,380201,울산,13523.8,14000.0,12500.0,2520.0,2,2,0,1,14000.0,12500.0
양파,2026-05-11,330201,충주,7826.4,10000.0,6500.0,2160.0,3,3,0,1,10000.0,6500.0
양파,2026-05-11,350402,정읍,7375.0,8000.0,6000.0,1920.0,2,2,0,1,8000.0,6000.0
양파,2026-05-11,320201,원주,5630.0,5630.0,5630.0,15.0,1,1,0,1,5630.0,5630.0
오이,2026-05-11,110001,서울가락,21000.0,21000.0,21000.0,300.0,1,1,0,1,21000.0,21000.0
오이,2026-05-11,380303,창원내서,19500.0,19500.0,19500.0,10.0,1,1,0,1,19500.0,19500.0
참외,2026-05-11,110001,서울가락,23282.0,35000.0,8000.0,108184.0,1440,1424,16,2,224000.0,4000.0
참외,2026-05-11,230001,인천남촌,24042.5,40000.0,7000.0,43570.0,927,909,18,3,47000.0,5000.0
